Date,Time,Title Job,Job ID,Title,Hebrew Title,Link
2025-07-13,21:51:32,student,Job 1,Signal and Power Integrity Student,סטודנט של יושרה של איתות וכוח,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Signal-and-Power-Integrity-Student_JR1992131?q=student&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:32,student,Job 2,Senior Tools Engineer,מהנדס כלים בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Tools-Engineer_JR1998549-1?q=student&locations=970bf8c909a701c749f87bdcd4008607
,,,,,,
2025-07-13,21:51:42,intern,Job 1,Signal and Power Integrity Student,סטודנט של יושרה של איתות וכוח,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Signal-and-Power-Integrity-Student_JR1992131?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:42,intern,Job 2,Senior Software and DevOps Development Engineer,מהנדס פיתוח תוכנה ובכירה של DevOps,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Software-and-DevOps-Development-Engineer_JR1999761?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:43,intern,Job 3,"Senior Manager, IC Test Labs","מנהל בכיר, מעבדות מבחן IC",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Manager--Production-Infrastructure-Equipment_JR1996202?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:43,intern,Job 4,Senior Hardware Engineer – Ethernet Switch,מהנדס חומרה בכיר - מתג Ethernet,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Hardware-Engineer---Ethernet-Switch_JR1998448?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:45,intern,Job 5,Lab Infrastructure and Integrated Systems Engineer,תשתיות מעבדה ומהנדס מערכות משולבות,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Lab-Infrastructure-and-Integrated-Systems-Engineer_JR1998193?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:45,intern,Job 6,Senior Quality and Reliability Engineer,מהנדס איכות ואמינות בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Quality-and-Reliability-Engineer_JR1998178?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:45,intern,Job 7,"Senior Customer Program Manager, AI Datacenter","מנהל תכנית לקוחות בכיר, מרכז נתונים AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Customer-Program-Manager--AI-Datacenter_JR1998662-1?q=intern&locations=970bf8c909a701c749f87bdcd4008607
